id,port,requesttime,browser,emailid,training,password,packet
20,33207,1549291453,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.76 Mobile Safari/537.36",f1c140b6-252b-4fc1-b728-63a5b1a8ec47,0,1,P2
21,51281,1549297387,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",6c799144-d856-4742-bcac-6b52e756494e,0,1,P3
22,30438,1549297460,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.76 Mobile Safari/537.36",f1c140b6-252b-4fc1-b728-63a5b1a8ec47,0,1,P2
23,10941,1549298262,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",c105f6af-c497-4b2b-8b05-781c2819b195,0,1,P1
24,20285,1549300599,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",64554387-9d2e-434b-9f91-77a1f5db38e4,1,1,P4
25,4827,1549300630,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",64554387-9d2e-434b-9f91-77a1f5db38e4,1,1,P4
26,38353,1549301584,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.76 Mobile Safari/537.36",8fa0aeca-5de6-45e2-be38-7d607f87519e,1,1,P1
27,58352,1549302102,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",f638ac7c-471c-49bd-801a-9e3d5e2fd7e1,0,1,P4
28,58394,1549302125,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",f638ac7c-471c-49bd-801a-9e3d5e2fd7e1,0,1,P4
29,58457,1549302142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",f638ac7c-471c-49bd-801a-9e3d5e2fd7e1,0,1,P4
30,4860,1549304632,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",358882dd-99c3-49c8-ad33-e544de7e3dbf,1,1,P2
31,55561,1549311620,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",3bc45ab1-3826-494f-9359-c9e5da187193,0,1,P2
32,64945,1549312168,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,a876e5a4-b786-44a0-9e79-76e2b126a8d4,0,1,P5
33,63046,1549313723,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",ccaf8f86-abe4-42bb-bc58-6ba7da9c7fa6,3,1,P4
34,62064,1549324914,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",ccaf8f86-abe4-42bb-bc58-6ba7da9c7fa6,3,1,P6
35,40345,1549325078,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",ccaf8f86-abe4-42bb-bc58-6ba7da9c7fa6,3,0,P4
36,63433,1549338947,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",0cf73fa8-69ee-4acf-ac48-7306bb812e42,0,1,P6
37,55660,1549342051,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",bfa3350c-2abe-405d-b229-da02dc98f28c,3,1,P6
38,59029,1549367520,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",8996e67a-6729-4b43-97cc-1d946d86316a,1,1,P2
39,50331,1549380687,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",87e2b946-7d3c-401c-a1aa-b73910b74b90,0,1,P3
40,52534,1549388144,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G960U1 Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36",adac7bf9-d991-4a1a-93db-9597499fcf92,0,1,P3
41,59326,1549428308,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/72.0.3626.74 Mobile/15E148 Safari/605.1",fc59dada-badd-4227-9a45-66a4a5740cf6,3,1,P6
42,52152,1549428368,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",ecc7d63a-2dc1-429d-91fa-24a636300604,3,1,P6
43,62618,1549428380,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/72.0.3626.74 Mobile/15E148 Safari/605.1",fc59dada-badd-4227-9a45-66a4a5740cf6,3,1,P6
44,51638,1549429587,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,testingSpeed,1,1,PTest
45,51843,1549429697,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,testingSpeed,1,1,PTest
46,51846,1549429719,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,testingSpeed,1,1,PTest
47,50989,1549440055,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",P7HasStarted,1,0,P7
48,20685,1549457778,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",9992467d-69ed-4cdc-a563-f74212530207,3,1,P8
49,51057,1549462015,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",0ab6b247-a02e-4244-8d04-820cd62d16da,1,1,P2
50,27956,1549466729,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",3bc45ab1-3826-494f-9359-c9e5da187193,0,1,P9
51,55595,1549470332,"Mozilla/5.0 (iPad; CPU OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",3bc45ab1-3826-494f-9359-c9e5da187193,0,1,P9
52,12001,1549477252,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,54ce8c73-dc16-4ed8-8226-6c96cde75643,0,1,P9
53,56972,1549479688,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",c0ed263c-9847-494d-a8dd-aacf852be207,0,1,P5
54,12633,1549484628,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.76 Mobile Safari/537.36",f1c140b6-252b-4fc1-b728-63a5b1a8ec47,0,1,P11
55,22097,1549486981,Mozilla/5.0 (Android 8.0.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,a876e5a4-b786-44a0-9e79-76e2b126a8d4,0,1,P11
56,50231,1549490172,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",4b82d79d-ef2d-4b14-9f47-7b0c7c7c2687,0,1,P11
57,51242,1549498877,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",4b82d79d-ef2d-4b14-9f47-7b0c7c7c2687,0,1,P6
58,3382,1549501536,Mozilla/5.0 (Android 8.0.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,a876e5a4-b786-44a0-9e79-76e2b126a8d4,0,1,P12
59,58222,1549513555,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",8996e67a-6729-4b43-97cc-1d946d86316a,1,1,P8
60,57907,1549540545,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",453c5ce1-dda8-4f42-9692-75e9165e7cb6,2,1,P12
61,49943,1549578481,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",08d7aab1-81c8-4ab5-b81a-7c75bf69b499,2,1,P9
62,52158,1549591914,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,STARTsleepTEST,1,0,PSleepTest
63,52163,1549591936,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,STARTsleepTEST,1,1,PSleepTest
64,42476,1549592932,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0,P13-BEGIN,1,1,P13
65,52715,1549633048,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",4b82d79d-ef2d-4b14-9f47-7b0c7c7c2687,0,1,P14
66,59339,1549635092,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",c4359f29-fcc5-4571-8b7a-3f1bbc501cf9,3,1,P13
67,62796,1549639413,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",76eb17d1-dab8-4abd-8ac2-f5bd9c2eb4a4,0,1,P13
68,36139,1549640763,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36",29fcf9cb-450b-4c14-bd69-cfc9f10c1bb0,0,1,P14
69,64776,1549642116,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.96 Safari/537.36",76eb17d1-dab8-4abd-8ac2-f5bd9c2eb4a4,0,1,P13
70,64812,1549642152,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.96 Safari/537.36",76eb17d1-dab8-4abd-8ac2-f5bd9c2eb4a4,0,1,P13
71,52513,1549643136,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",8961b644-8f47-402d-a727-ff62b8a7a82a,2,1,P9
72,52030,1549648387,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",3bc45ab1-3826-494f-9359-c9e5da187193,0,1,P16
73,58984,1549650132,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",3bc45ab1-3826-494f-9359-c9e5da187193,0,1,P16
74,62535,1549650492,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.96 Mobile Safari/537.36",f1c140b6-252b-4fc1-b728-63a5b1a8ec47,0,1,P16
75,49684,1549655566,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",17531af2-a764-4897-a39e-c4fa30052f8a,0,1,P16
76,13767,1549655789,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",6c799144-d856-4742-bcac-6b52e756494e,0,1,P16
77,52713,1549659086,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",0cc8b972-5d82-4957-b73d-243292ac73bf,3,0,P17
78,52797,1549659300,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",0cc8b972-5d82-4957-b73d-243292ac73bf,3,0,P17
79,50968,1549663120,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",e7be957d-7dcc-4a9b-bbc1-2f76cd2e3870,1,1,P17
80,63103,1549664738,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",4b82d79d-ef2d-4b14-9f47-7b0c7c7c2687,0,1,P17
81,63107,1549664753,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",4b82d79d-ef2d-4b14-9f47-7b0c7c7c2687,0,1,P17
82,21591,1549673939,Mozilla/5.0 (Android 8.0.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,a876e5a4-b786-44a0-9e79-76e2b126a8d4,0,1,P18
83,1928,1549673999,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",358882dd-99c3-49c8-ad33-e544de7e3dbf,1,0,P17
84,55846,1549727015,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",cdbb43a9-26f2-4e27-bda8-0641fce3c4db,1,1,P7
85,59017,1549727248,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",328ce424-e17e-4d8a-b5b3-25e6eab405d3,2,1,P18
86,52207,1549780518,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",08479bb0-b6ac-4f1e-8ace-b6cebd00fd15,0,1,P14
87,51449,1549831493,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",ecc76d85-18ab-4e48-99b6-3c9b4564cf17,2,1,P16
88,60306,1549884982,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",17dba0de-7b3b-4cbd-9871-8c888d47830a,0,0,P18
89,60307,1549884982,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",17dba0de-7b3b-4cbd-9871-8c888d47830a,0,0,P18
90,63636,1549902820,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",bfa3350c-2abe-405d-b229-da02dc98f28c,3,1,P18
91,64162,1549909466,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",b9358741-f839-43ae-8dd9-4a6c04e45c59,3,0,P10
92,52470,1549912388,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",f48a216d-96c6-4f52-9284-61e45bd82903,1,1,P14
93,60914,1549914667,"Mozilla/5.0 (iPad; CPU OS 12_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",927edb38-4b29-4529-9d74-2e86f7c480d0,0,1,P16
94,60933,1549914716,"Mozilla/5.0 (iPad; CPU OS 12_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",927edb38-4b29-4529-9d74-2e86f7c480d0,0,1,P12
95,18329,1549928779,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",ecc7d63a-2dc1-429d-91fa-24a636300604,3,1,P17
96,49615,1549937043,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",d8f7c303-5d37-4c4c-9e39-7ef1846ef7fe,2,1,P18
97,5925,1549995434,"Mozilla/5.0 (Linux; Android 8.0.0; XT1635-01) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36",4c3e12fc-40de-4bc6-92a6-1a8122aca40b,0,1,P15
98,52347,1549998767,Mozilla/5.0 (Windows NT 6.1; rv:65.0) Gecko/20100101 Firefox/65.0,WritingTalkIgnoreThis,1,1,P1
99,52615,1549999368,Mozilla/5.0 (Windows NT 6.1; rv:65.0) Gecko/20100101 Firefox/65.0,WritingTalkIgnoreThis,1,0,P1
100,44643,1549999379,Mozilla/5.0 (Windows NT 6.1; rv:65.0) Gecko/20100101 Firefox/65.0,WritingTalkIgnoreThis,2,1,P1
101,52635,1549999538,Mozilla/5.0 (Windows NT 6.1; rv:65.0) Gecko/20100101 Firefox/65.0,WritingTalkIgnoreThis,3,1,P1
102,3083,1550009303,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.96 Safari/537.36",8ae2f01c-6cef-4e41-bc9f-60e6cdc0ffb2,0,1,P5
103,55586,1550009363,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.96 Safari/537.36",8ae2f01c-6cef-4e41-bc9f-60e6cdc0ffb2,0,1,P5
104,60315,1550013939,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.96 Safari/537.36",662b7668-08b6-4cef-a41f-c00a4b20b978,0,1,P18
105,50782,1550017182,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,26e461bd-a78e-443d-a8e2-b9947d45ec8b,2,1,P17
106,63243,1550022442,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",28b96d2d-671d-45e7-8e99-55144c8f72fb,2,1,P17
107,50974,1550085462,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",3373856a-6f8c-4ca0-8ca1-a47ef470982f,3,1,P15
108,18230,1550085508,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",3373856a-6f8c-4ca0-8ca1-a47ef470982f,3,1,P11
109,50113,1550086027,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.96 Safari/537.36",a60165be-874a-439d-8fb1-7679dcd40345,2,1,P18
110,56146,1550090207,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.96 Safari/537.36",5df74d99-f268-4a85-8b44-28c5ee9a2d66,2,1,P17
111,23900,1550114297,"Mozilla/5.0 (Linux; Android 7.0; LGUS215) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.76 Mobile Safari/537.36",d5d55cd4-49fd-4f7f-999b-d815a8c24c24,2,1,P15
112,63736,1550160410,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",e8a89f9f-0d61-494a-be7c-74f2801757e2,0,1,P11
113,63753,1550160495,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",e8a89f9f-0d61-494a-be7c-74f2801757e2,0,1,P3
114,60584,1550165480,Mozilla/5.0 (Windows NT 6.1; rv:65.0) Gecko/20100101 Firefox/65.0,PresentationTest,0,1,P999
115,21319,1550173975,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",e1c8d7ca-4515-4847-95a7-9f9b77df8e92,1,1,P17
116,53793,1550200548,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",47a2f4bc-9a0f-43d3-bb85-510e930ec6d6,3,1,P16
117,55350,1550362575,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,ryandebugging,1,1,P1
